Title,Style,Size,OG,FG,ABV,IBU,Color
Paulaner Clone,Weizen/Weissbier,37 Gallons,1.05,1.013,4.82,14.35,6.79 °L
Heavenweizen,Weizen/Weissbier,11 Gallons,1.062,1.014,6.3,13.92,5.9 °L
Bakke Brygg Tysk Pilsner 25 L,German Pils,25 Litres,1.047,1.011,4.8,30.99,3.32 °L
Green Flash West Coast IPA Clone,American IPA,6 Gallons,1.072,1.016,7.27,92.4,9.3 °L
Irish Stout,Irish Extra Stout,5.5 Gallons,1.059,1.016,5.63,37.05,30.04 °L
Bavarian Hefeweizen,Weizen/Weissbier,5.25 Gallons,1.043,1.011,4.26,17.68,3.02 °L
Chocolate Cherry Porter,Robust Porter,5 Gallons,1.072,1.018,7.12,44.19,39.03 °L
Weihenstephaner Clone,Weissbier,46 Litres,1.057,1.014,5.7,9.4,3.81 °L
Brooklyn Lager Clone,Vienna Lager,5 Litres,1.06,1.017,5.65,34.79,11.92 °L
Dragon's Milk Clone,Old Ale,5.5 Gallons,1.097,1.023,9.67,35.2,37.34 °L
Strawberry Milkshake IPA,American IPA,5.5 Gallons,1.074,1.023,6.67,96.89,5.91 °L
Ramblin' Rose - SMaSH IPA,American IPA,5.5 Gallons,1.065,1.011,6.98,79.49,3.52 °L
Boulevard Pale Ale Clone,American Pale Ale,5.5 Gallons,1.052,1.013,5.05,30.84,9.47 °L
The Quiet Man - Citra Lager,American Lager,21 Litres,1.045,1.008,4.93,16.35,2.58 °L
American Porter,American Porter,5.25 Gallons,1.057,1.015,5.62,44.95,30.02 °L
Elysian Space Dust Variant,American IPA,5 Gallons,1.086,1.024,8.21,73.43,9.33 °L
Cascadian Dark Ale (Black IPA),American IPA,12 Gallons,1.067,1.017,6.64,94.45,31.85 °L
Coors Lite Clone,American Light Lager,5.5 Gallons,1.04,1.008,4.13,21.89,2.69 °L
Westmalle Tripel Clone,Belgian Tripel,12 Gallons,1.092,1.022,9.23,36.92,5.53 °L
Toombstone - Banana Wheat,Weissbier,21 Litres,1.048,1.006,5.49,11.84,3.51 °L
Tripel Karmeliet Clone,Belgian Golden Strong Ale,5.5 Gallons,1.091,1.022,9.06,25.16,5.12 °L
Imperial Gingerbread Stout,Foreign Extra Stout,5.5 Gallons,1.101,1.024,10.17,65.45,40 °L
Firestone Walker Union Jack IPA Clone,American IPA,5.5 Gallons,1.087,1.027,7.87,81.05,8.14 °L
Chocolate Oatmeal Stout,Oatmeal Stout,5 Gallons,1.063,1.02,5.65,29.83,39.05 °L
American Red Ale,American Amber Ale,6 Gallons,1.066,1.016,6.63,64.58,17.09 °L
Bakke Brygg Ginger Ale 25 L,"Spice, Herb, or Vegetable Beer",25 Litres,1.043,1.01,4.41,10.82,2.95 °L
Rebel IPA,American IPA,5.5 Gallons,1.061,1.011,6.58,51.23,9.38 °L
Fuller's ESB Clone,Strong Bitter,19 Litres,1.055,1.016,5.18,33.4,10.98 °L
2015 - Hoegaarden Grand Cru,Witbier,6 Gallons,1.088,1.022,8.67,29.77,5.64 °L
Cascade 2-Row Smash,American Pale Ale,5.5 Gallons,1.05,1.012,5.11,45.01,3.37 °L
Traditional Berliner Weisse,Berliner Weisse,11 Gallons,1.039,1.01,3.87,6.69,2.89 °L
Dark Lord Clone,Russian Imperial Stout,11 Gallons,1.136,1.031,13.69,55.93,50 °L
Apple Ale,Fruit Beer,4 Gallons,1.06,1.01,6.64,11.74,7.97 °L
Hell Or High Watermelon Clone,American Wheat Beer,5.5 Gallons,1.052,1.012,5.19,15.33,4.3 °L
Harp Irish Lager Clone,Premium American Lager,48 Litres,1.049,1.008,5.34,25.12,3.46 °L
Easy Pale Ale,American Pale Ale,5.5 Gallons,1.056,1.013,5.64,34.83,9.28 °L
Brut IPA,American IPA,5.5 Gallons,1.054,1,7.03,34.19,3.17 °L
TH Haze Clone,Imperial IPA,3 Gallons,1.081,1.018,8.25,84.16,7 °L
Blonde Stout,Sweet Stout,5 Gallons,1.08,1.019,8.01,31.1,7.24 °L
Honey Blonde Ale,Blonde Ale,5.5 Gallons,1.053,1.012,5.35,17.22,7.14 °L
Pirate Life Pale Ale,American Pale Ale,21 Litres,1.058,1.01,6.29,57.25,5.65 °L
La Trappe Quadrupel Clone,Belgian Dark Strong Ale,46 Litres,1.099,1.022,10.11,23.4,22.03 °L
Augustiner Helles Clone V1.2,Munich Helles,3.8 Litres,1.054,1.015,5.03,17.74,4.69 °L
Citra & Raspberry IPA Smoothie,Fruit Beer,23 Litres,1.062,1.017,6.16,58.65,8.36 °L
Bakke Brygg American IPA 50 L,American IPA,50 Litres,1.065,1.013,6.85,71.88,6.89 °L
Chocolate Coconut Stout,Sweet Stout,6 Gallons,1.085,1.025,7.84,37.56,50 °L
Kasteel Donker ( Updated ),Belgian Dark Strong Ale,9 Gallons,1.074,1.011,8.22,13.63,40.46 °L
Peach Wheat Beer,American Wheat Beer,5.5 Gallons,1.068,1.016,6.79,33.3,10.03 °L
LAWSON'S SIP OF SUNSHINE CLONE,American IPA,5.5 Gallons,1.078,1.016,8.07,69.28,6.38 °L
