Recipe Name,Recipe URL,Beer Style,Brewer,Stats
N&B Tripel,https://beersmithrecipes.com/viewrecipe/5150077/nampb-tripel,Belgian Tripel (26C),DarthTexan,"OG: 1.081 (19.5° P), Bitterness: 28.2 IBUs, ABV: 9.1 %"
Pandemic at the Disco,https://beersmithrecipes.com/viewrecipe/2958555/pandemic-at-the-disco,Belgian Tripel (26C),DarthTexan,"OG: 1.080 (19.3° P), Bitterness: 30.7 IBUs, ABV: 8.8 %"
Canines Playing Canasta,https://beersmithrecipes.com/viewrecipe/4794005/canines-playing-canasta,American Stout (20B),DarthTexan,"OG: 1.069 (16.8° P), Bitterness: 57.8 IBUs, ABV: 6.7 %"
Bohemian Pilsner 1.0 w/Review,https://beersmithrecipes.com/viewrecipe/1294798/bohemian-pilsner-10-w-review,Bohemian Pilsner ( 2B),brendanstully,"OG: 1.066 (16.1° P), Bitterness: 36.7 IBUs, ABV: 6.5 %"
Scoots Red Ale,https://beersmithrecipes.com/viewrecipe/5098006/scoots-red-ale,Irish Red Ale (9D),scootsforthealscure,"OG: 1.056 (13.8° P), Bitterness: 19.6 IBUs, ABV: 5.4 %"
2 Brothers Irish Red (15 gal),https://beersmithrecipes.com/viewrecipe/5110671/2-brothers-irish-red-15-gal,American Amber Ale (6B),Brothers2,"OG: 1.062 (15.2° P), Bitterness: 25.3 IBUs, ABV: 5.8 %"
Blonde Ale,https://beersmithrecipes.com/viewrecipe/953844/blonde-ale,Blonde Ale (18A),coreyperrycm,"OG: 1.040 (10.1° P), Bitterness: 15.0 IBUs, ABV: 4.1 %"
352 Deschutes Black Butte Porter AHA,https://beersmithrecipes.com/viewrecipe/5131069/352-deschutes-black-butte-porter-aha,American Porter (20A),hopsfull,"OG: 1.054 (13.4° P), Bitterness: 39.6 IBUs, ABV: 5.5 %"
349 NEIPA,https://beersmithrecipes.com/viewrecipe/5080296/349-neipa,American IPA (14B),hopsfull,"OG: 1.073 (17.6° P), Bitterness: 39.3 IBUs, ABV: 6.8 %"
Comix 25,https://beersmithrecipes.com/viewrecipe/5160987/comix-25,Belgian Pale Ale (24B),andrewbehanie,"OG: 1.048 (12.0° P), Bitterness: 26.2 IBUs, ABV: 5.4 %"
